step,epoch,loss,mean_token_accuracy,learning_rate,grad_norm,entropy,num_tokens
1,0.011267605633802818,1.7871129512786865,0.73573999106884,0.0001,10.928152084350586,0.3948274105787277,2606.0
2,0.022535211267605635,1.3193202018737793,0.7801394462585449,9.9375e-05,4.919926166534424,0.4572918638586998,5212.0
3,0.03380281690140845,0.7633503675460815,0.8500000089406967,9.875000000000002e-05,3.2902238368988037,0.4574374631047249,7748.0
4,0.04507042253521127,0.5717555284500122,0.871052622795105,9.8125e-05,4.328246593475342,0.5655594766139984,10284.0
5,0.056338028169014086,0.5847941637039185,0.8408232033252716,9.75e-05,2.883510112762451,0.6722993552684784,12890.0
6,0.0676056338028169,0.4100778102874756,0.8868421018123627,9.687500000000001e-05,2.0441412925720215,0.6181093603372574,15426.0
7,0.07887323943661972,0.28952693939208984,0.9421052783727646,9.625000000000001e-05,1.2710697650909424,0.5635974407196045,17962.0
8,0.09014084507042254,0.21000342071056366,0.9578947424888611,9.562500000000001e-05,0.8658022284507751,0.4294775500893593,20498.0
9,0.10140845070422536,0.14667260646820068,0.9578947424888611,9.5e-05,0.6107720136642456,0.28534405678510666,23034.0
10,0.11267605633802817,0.12282946705818176,0.9657894670963287,9.4375e-05,0.8587138652801514,0.16436851397156715,25570.0
11,0.12394366197183099,0.11803196370601654,0.972379669547081,9.375e-05,0.6209896802902222,0.17175528407096863,28176.0
12,0.1352112676056338,0.11519883573055267,0.9750112444162369,9.3125e-05,0.5531556606292725,0.11963737942278385,30782.0
13,0.14647887323943662,0.04376256465911865,0.9868420958518982,9.250000000000001e-05,0.5371889472007751,0.05910905543714762,33318.0
14,0.15774647887323945,0.07692622393369675,0.9750112444162369,9.1875e-05,0.9607037305831909,0.08044570405036211,35924.0
15,0.16901408450704225,0.028970547020435333,0.9868420958518982,9.125e-05,0.5268840193748474,0.026745302136987448,38460.0
16,0.18028169014084508,0.06218202784657478,0.9868420958518982,9.062500000000001e-05,1.1126559972763062,0.02067507687024772,40996.0
17,0.19154929577464788,0.07133501768112183,0.9745164215564728,9e-05,0.5886595845222473,0.05129346530884504,43602.0
18,0.2028169014084507,0.06488317251205444,0.9797795712947845,8.9375e-05,0.5259467959403992,0.07150436192750931,46278.0
19,0.2140845070422535,0.01601247675716877,0.9921052604913712,8.875e-05,0.5947752594947815,0.0232205125503242,48814.0
20,0.22535211267605634,0.0273131113499403,0.9878317713737488,8.8125e-05,0.4295679032802582,0.03666399489156902,51420.0
21,0.23661971830985915,0.01805337332189083,0.9921052753925323,8.75e-05,0.27956005930900574,0.016404033405706286,53956.0
22,0.24788732394366197,0.006976771634072065,1.0,8.687500000000001e-05,0.17982448637485504,0.01829362311400473,56492.0
23,0.2591549295774648,0.012423518113791943,0.9952316731214523,8.625000000000001e-05,0.184115469455719,0.022765444358810782,59098.0
24,0.2704225352112676,0.0030635613948106766,1.0,8.5625e-05,0.0898888036608696,0.01086157001554966,61634.0
25,0.28169014084507044,0.023588860407471657,0.9894737005233765,8.5e-05,0.3964683413505554,0.014875218272209167,64170.0
26,0.29295774647887324,0.010890688747167587,0.9894736856222153,8.4375e-05,0.4665393531322479,0.013915667310357094,66706.0
27,0.30422535211267604,0.0027306564152240753,1.0,8.375e-05,0.07294375449419022,0.010380460764281452,69242.0
28,0.3154929577464789,0.006156016606837511,0.9973684251308441,8.312500000000001e-05,0.17951461672782898,0.013189191347919405,71848.0
